map_a,map_b,bit_agreement,descriptor_nc,identity_permutation_logo_nc
H51-BOUA,H51-BOUP,0.26171875,0.26171874999999994,0.29819684173605265
H51-BOUA,H51-BRGA,0.53125,0.5312499999999999,0.5902574135595615
H51-BOUA,H51-BRGL,0.544921875,0.5449218749999999,0.6017062515663343
H51-BOUA,H51-BRGP,0.255859375,0.25585937499999994,0.2924988129130708
H51-BOUA,H51-CPTL,0.521484375,0.5214843749999999,0.5810172113978643
H51-BOUA,H51-HFCA,0.466796875,0.4667968749999999,0.5261700561773909
H51-BOUA,H51-HFCL,0.521484375,0.5214843749999999,0.5803810000880093
H51-BOUA,H51-HFCP,0.25,0.24999999999999994,0.28680078409008886
H51-BOUA,H51-HYDA,0.953125,0.9531249999999998,0.9616809744060016
H51-BOUA,H51-HYDL,0.5234375,0.5234374999999999,0.5833739451798582
H51-BOUA,H51-HYDP,0.25390625,0.25390624999999994,0.2905994699720768
H51-BOUA,H51-LFCL,0.515625,0.5156249999999999,0.5751990268729378
H51-BOUA,H51-LFCP,0.255859375,0.25585937499999994,0.2949598057384888
H51-BOUA,H51-LRDL,0.5546875,0.5546874999999999,0.6132318794729017
H51-BOUA,H51-LRRL,0.611328125,0.6113281249999999,0.6676874994115336
H51-BOUA,H51-RESA,0.486328125,0.4863281249999999,0.5458066356660273
H51-BOUA,H51-RESP,0.25390625,0.25390624999999994,0.2905994699720768
H51-BOUA,H51-RFCA,0.453125,0.4531249999999999,0.5123747669291632
H51-BOUA,H51-RFCP,0.255859375,0.25585937499999994,0.2924988129130708
H51-BOUA,H51-TERL,0.87890625,0.8789062499999998,0.899328198596713
H51-BOUA,H51-TERP,0.255859375,0.25585937499999994,0.2924988129130708
H51-BOUA,H51-VEGA,0.853515625,0.8535156249999998,0.8779885880789379
H51-BOUA,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.53125,0.5312499999999999,0.5908769247598075
H51-BOUA,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.529296875,0.5292968749999999,0.5897816931884402
H51-BOUA,tianjin-latest-free.shp-gis_osm_natural_free_1,0.255859375,0.25585937499999994,0.2924988129130708
H51-BOUA,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.515625,0.5156249999999999,0.5739059902266971
H51-BOUA,tianjin-latest-free.shp-gis_osm_places_free_1,0.255859375,0.25585937499999994,0.2949598057384888
H51-BOUA,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.517578125,0.5175781249999999,0.5762832861327932
H51-BOUA,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.26171875,0.26171874999999994,0.29819684173605265
H51-BOUA,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.525390625,0.5253906249999999,0.585094812274784
H51-BOUA,tianjin-latest-free.shp-gis_osm_pois_free_1,0.255859375,0.25585937499999994,0.2949598057384888
H51-BOUA,tianjin-latest-free.shp-gis_osm_railways_free_1,0.7109375,0.7109374999999999,0.7546227828892688
H51-BOUA,tianjin-latest-free.shp-gis_osm_roads_free_1,0.482421875,0.4824218749999999,0.5444304559854468
H51-BOUA,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.525390625,0.5253906249999999,0.5844653847592759
H51-BOUA,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.24609375,0.24609374999999994,0.2804812378228572
H51-BOUA,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.51953125,0.5195312499999999,0.5786536756829855
H51-BOUA,tianjin-latest-free.shp-gis_osm_transport_free_1,0.25390625,0.25390624999999994,0.2918363005948659
H51-BOUA,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.578125,0.5781249999999999,0.6321008962546777
H51-BOUA,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.544921875,0.5449218749999999,0.6046910454969561
