claimed_map,query_map,recovered_logo_nc,accept_at_nominal_0_90
H51-BRGA,H51-TERP,0.6939494136524981,0
H51-BRGA,H51-VEGA,0.7084846138596866,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.8048577694106569,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.8210179353082656,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_natural_free_1,0.6939494136524981,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.814835345064508,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_places_free_1,0.6918075520516023,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.813668115826866,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.6977940381619046,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.8106097227429264,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_pois_free_1,0.6918075520516023,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_railways_free_1,0.783731608862329,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_roads_free_1,0.8184728260708545,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.8117594305062757,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.6792901521980965,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.8155726394127811,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_transport_free_1,0.689660143443125,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.863485408072931,0
H51-BRGA,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.8838229243296382,0
H51-BRGL,H51-AANP,0.6909361114969227,0
H51-BRGL,H51-AGNP,0.6892216298306773,0
H51-BRGL,H51-BOUA,0.6017062515663343,0
H51-BRGL,H51-BOUL,0.9421279329352287,1
H51-BRGL,H51-BOUP,0.6947940899203691,0
H51-BRGL,H51-BRGA,0.9097957667721553,1
H51-BRGL,H51-BRGP,0.6909361114969227,0
H51-BRGL,H51-CPTL,0.9242170250759654,1
H51-BRGL,H51-HFCA,0.8976989808456319,0
H51-BRGL,H51-HFCL,0.9502393712780217,1
H51-BRGL,H51-HFCP,0.6780216354007792,0
H51-BRGL,H51-HYDA,0.558687705267843,0
H51-BRGL,H51-HYDL,0.9503007585196174,1
H51-BRGL,H51-HYDP,0.6892216298306773,0
H51-BRGL,H51-LFCL,0.9149855276286857,1
H51-BRGL,H51-LFCP,0.689660143443125,0
H51-BRGL,H51-LRDL,0.9598431590246091,1
H51-BRGL,H51-LRRL,0.8846652388369839,0
H51-BRGL,H51-RESA,0.8963354175897652,0
H51-BRGL,H51-RESP,0.6892216298306773,0
H51-BRGL,H51-RFCA,0.8788650098334259,0
H51-BRGL,H51-RFCP,0.6909361114969227,0
H51-BRGL,H51-TERL,0.6482964103179933,0
H51-BRGL,H51-TERP,0.6909361114969227,0
H51-BRGL,H51-VEGA,0.72640373679697,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.8231496315012369,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.8269138195945605,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_natural_free_1,0.6909361114969227,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.8299544088013073,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_places_free_1,0.689660143443125,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.8332348610100081,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.6947940899203691,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.8193693049160804,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_pois_free_1,0.689660143443125,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_railways_free_1,0.8210179353082656,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_roads_free_1,0.8712919706037621,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.8280786712108251,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.6736565179592966,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.8280786712108251,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_transport_free_1,0.6875071481644318,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.8545578003665635,0
H51-BRGL,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.954916541643174,1
H51-BRGP,H51-AANP,1.0000000000000002,1
H51-BRGP,H51-AGNP,0.9984114366459335,1
H51-BRGP,H51-BOUA,0.2961842416295624,0
H51-BRGP,H51-BOUL,0.6620473436277011,0
H51-BRGP,H51-BOUP,0.9872661531332735,1
H51-BRGP,H51-BRGA,0.6961287100802974,0
H51-BRGP,H51-BRGL,0.697094429660128,0
H51-BRGP,H51-CPTL,0.6876805461230123,0
H51-BRGP,H51-HFCA,0.7306770072260991,0
H51-BRGP,H51-HFCL,0.6991251058908884,0
H51-BRGP,H51-HFCP,0.9841029924901796,1
H51-BRGP,H51-HYDA,0.24535664332172594,0
H51-BRGP,H51-HYDL,0.713811322457733,0
H51-BRGP,H51-HYDP,0.9984114366459335,1
H51-BRGP,H51-LFCL,0.7309142145097679,0
H51-BRGP,H51-LFCP,0.9952317823890993,1
H51-BRGP,H51-LRDL,0.6866024778494761,0
H51-BRGP,H51-LRRL,0.595420014844339,0
H51-BRGP,H51-RESA,0.720575481780577,0
H51-BRGP,H51-RESP,0.9984114366459335,1
H51-BRGP,H51-RFCA,0.760657527956198,0
H51-BRGP,H51-RFCP,0.9984114366459335,1
H51-BRGP,H51-TERL,0.3667441646677916,0
H51-BRGP,H51-TERP,0.9984114366459335,1
H51-BRGP,H51-VEGA,0.4355607830392671,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.7392882927231513,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.7420314869076652,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_natural_free_1,1.0000000000000002,1
H51-BRGP,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.7559766672991446,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_places_free_1,0.9952317823890993,1
H51-BRGP,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.7546059015888198,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.9872661531332735,1
H51-BRGP,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.7440850431505321,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_pois_free_1,0.9952317823890993,1
H51-BRGP,tianjin-latest-free.shp-gis_osm_railways_free_1,0.5559033831778427,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_roads_free_1,0.7398543761443612,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.7464688894976548,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.9808966940808007,1
H51-BRGP,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.7508801953847684,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_transport_free_1,0.9936419552606822,1
H51-BRGP,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.6905015950960496,0
H51-BRGP,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.680377536862523,0
H51-CPTL,H51-AANP,0.6818486929018635,0
H51-CPTL,H51-AGNP,0.6801181124630262,0
H51-CPTL,H51-BOUA,0.5784703273365958,0
H51-CPTL,H51-BOUL,0.9421279329352287,1
H51-CPTL,H51-BOUP,0.6874751131994873,0
H51-CPTL,H51-BRGA,0.936121347179264,1
H51-CPTL,H51-BRGL,0.9244127068458483,1
H51-CPTL,H51-BRGP,0.6818486929018635,0
H51-CPTL,H51-HFCA,0.9392300558426881,1
H51-CPTL,H51-HFCL,0.9600834977043305,1
H51-CPTL,H51-HFCP,0.6728590341160017,0
H51-CPTL,H51-HYDA,0.5380770594253792,0
H51-CPTL,H51-HYDL,0.8949907453022915,0
H51-CPTL,H51-HYDP,0.6801181124630262,0
H51-CPTL,H51-LFCL,0.8563879755405052,0
H51-CPTL,H51-LFCP,0.6801181124630262,0
H51-CPTL,H51-LRDL,0.8995830096824817,0
H51-CPTL,H51-LRRL,0.8776748659459097,0
H51-CPTL,H51-RESA,0.9329263937759218,1
H51-CPTL,H51-RESP,0.6801181124630262,0
H51-CPTL,H51-RFCA,0.8930878254970487,0
H51-CPTL,H51-RFCP,0.6822931399844158,0
H51-CPTL,H51-TERL,0.6039331445247524,0
H51-CPTL,H51-TERP,0.6822931399844158,0
H51-CPTL,H51-VEGA,0.6990768079930321,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.779501046879456,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.7918304013121705,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_natural_free_1,0.6818486929018635,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.7893297629345913,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_places_free_1,0.6801181124630262,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.790430169621836,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.6874751131994873,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.7828682220279634,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_pois_free_1,0.6801181124630262,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_railways_free_1,0.7693995214339339,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_roads_free_1,0.8186396114429162,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.7867975809648474,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.6702018691492488,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.7884751877472884,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_transport_free_1,0.678838491174368,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.8098056232160222,0
H51-CPTL,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.897447076663162,0
H51-HFCA,H51-AANP,0.7306770072260991,0
H51-HFCA,H51-AGNP,0.7289934196518454,0
H51-HFCA,H51-BOUA,0.5128120420545821,0
H51-HFCA,H51-BOUL,0.8989617563513141,0
H51-HFCA,H51-BOUP,0.7353584970929099,0
H51-HFCA,H51-BRGA,0.9420580280052104,1
H51-HFCA,H51-BRGL,0.8972036790796741,0
H51-HFCA,H51-BRGP,0.7306770072260991,0
H51-HFCA,H51-CPTL,0.9391459797686192,1
H51-HFCA,H51-HFCL,0.9305961637410807,1
H51-HFCA,H51-HFCP,0.7193889670630474,0
H51-HFCA,H51-HYDA,0.47312776174583615,0
H51-HFCA,H51-HYDL,0.8769256110103925,0
H51-HFCA,H51-HYDP,0.7289934196518454,0
H51-HFCA,H51-LFCL,0.8459487173303013,0
H51-HFCA,H51-LFCP,0.7289934196518454,0
H51-HFCA,H51-LRDL,0.8698608212378087,0
H51-HFCA,H51-LRRL,0.8433001854748222,0
H51-HFCA,H51-RESA,0.9744311822967582,1
H51-HFCA,H51-RESP,0.7289934196518454,0
H51-HFCA,H51-RFCA,0.9353778233677709,1
H51-HFCA,H51-RFCP,0.7302986909202522,0
H51-HFCA,H51-TERL,0.5500721453403772,0
H51-HFCA,H51-TERP,0.7302986909202522,0
H51-HFCA,H51-VEGA,0.6436813687236749,0
H51-HFCA,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.7888106377466156,0
H51-HFCA,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.8006838894032171,0
H51-HFCA,tianjin-latest-free.shp-gis_osm_natural_free_1,0.7306770072260991,0
